City,Country,City ID,Latitude,Longitude,Temperature,Max Temp,Humidity,Wind,Clouds,Date
Beaverlodge,CA,5896969,55.22,-119.44,35.6,35.6,93,10.29,75,1602728257
Antofagasta,CL,3899539,-23.65,-70.4,59.0,59.0,77,10.29,90,1602728258
Puerto Colombia,CO,3671497,10.99,-74.95,78.8,78.8,94,2.24,20,1602728259
Bandarbeyla,SO,64814,9.49,50.81,78.48,78.48,84,14.45,19,1602728260
Iqaluit,CA,5983720,63.75,-68.51,33.4,33.8,100,16.11,90,1602728262
Ingham,AU,2162737,-18.65,146.17,78.98,78.98,57,10.54,38,1602728263
Gondanglegi,ID,1640660,-7.75,112.01,88.63,88.63,54,14.56,90,1602728265
Carnarvon,AU,2074865,-24.87,113.63,69.8,69.8,64,21.92,90,1602728266
Tigzirt,DZ,2476660,36.89,4.12,64.0,64.0,61,6.13,0,1602728267
East London,ZA,1006984,-33.02,27.91,58.82,58.82,68,7.38,0,1602728068
Rawson,AR,3839307,-43.3,-65.1,54.25,54.25,41,24.45,95,1602728269
Coquimbo,CL,3893629,-29.95,-71.34,53.6,53.6,87,4.7,4,1602728270
Campbell River,CA,5914132,50.02,-125.24,48.69,50.0,93,2.24,40,1602728078
Trang,TH,1150006,7.5,99.5,78.8,78.8,94,2.24,40,1602728273
Kavieng,PG,2094342,-2.57,150.8,84.49,84.49,67,3.33,45,1602728274
Lusambo,CD,210379,-4.97,23.45,69.49,69.49,92,1.39,56,1602728275
Labuhan,ID,8079926,-6.88,112.21,88.07,88.07,54,4.85,100,1602728128
Shagonar,RU,1492499,51.53,92.8,39.69,39.69,69,2.33,54,1602728277
Tabou,CI,2281120,4.42,-7.35,76.75,76.75,90,7.09,70,1602728123
Sayhāt,SA,102318,26.49,50.04,71.6,71.6,83,3.36,0,1602728279
San Cristobal,EC,3651949,-0.9,-89.62,69.21,69.21,87,10.29,99,1602728280
Opuwo,NA,3354077,-18.06,13.84,65.17,65.17,42,2.66,1,1602728281
Northam,AU,2064550,-31.67,116.67,64.62,64.99,59,9.17,75,1602728283
Tete,MZ,1026014,-16.16,33.59,73.2,73.4,64,11.41,9,1602728284
Bay Roberts,CA,5895424,47.6,-53.26,52.93,55.0,40,14.5,56,1602728109
Antalaha,MG,1071296,-14.9,50.28,70.54,70.54,82,4.54,34,1602728286
Yulara,AU,6355222,-25.24,130.99,89.6,89.6,10,12.75,0,1602728287
Grindavik,IS,3416888,63.84,-22.43,46.4,46.4,93,27.51,75,1602728288
